Guild,Kills,Deaths,Fame
I The Flying Dutchman I,18,4,5106540
R E V E R I E,0,7,778195
The Castle Knights,4,4,187650
All The Villains,6,3,811883
Clover Official,0,3,0
Diana,1,0,7311
Clover Official,0,2,0
-,0,0,18963
V A G A B O N D,2,9,9940092
T O K Y O,5,9,432557
Scythes Area,0,0,6005
CHILIS,1,2,1086743
Call to Heaven,0,2,294915
-,0,1,0
Masked Bandits,0,0,38326
-,0,0,293348
Meow Immortal,0,1,37867
-,0,0,6738
Mika,5,1,1144708
SO EZ,0,1,0
SO EZ,18,7,9147494
JMcomic2,0,0,53643
Jia Nan,0,2,7042
F R O Z E N,19,13,2987069
Wing of Liberty,1,1,579311
KongFu PanDa,30,4,3384880
GOBLINS,31,25,18902151
Forever Night,2,59,18336984
AK-47,1,1,62080
Mamboo,14,4,306063
Save Me,0,5,129145
Kowloon Wall City,0,1,0
jij,0,1,14673
Farm Or Die,16,10,5001000
sexie,4,5,1444530
Earn money,0,2,366379
Save Me,7,4,599386
Guardians of Albion,0,1,0
Tarumanagara,0,2,7804
Gryphons Honor,0,1,0
SOUTHERN CROWN,1,3,28554
The Fide Blood,14,6,5966290
C O V Y,3,9,529712
NO-RE,27,68,21942970
MCS-P,41,26,6061562
Meeting Stone,8,24,464685
T O K Y O,0,1,0
I The Flying Dutchman I,55,22,12187321
Crazybabys,0,8,91504
Stellar Alliance,1,2,23650
Boar Army,0,2,117328
GFN-GFN,0,0,40416
NUPINUPPI,0,0,47338
Cut Throat,0,6,4453042
CHILIZ,0,8,7996111
RAKUTAI,10,6,457666
House Goodbrook,2,0,22729
Dotorii,0,0,103654
VIET NAM ssm,0,1,0
tamago X gohan,0,1,0
Albions Ark,0,7,272840
-,0,2,235680
Stellar Alliance,13,10,1132417
GOD EATER,8,8,1813290
Astartes,0,2,15217
Battleborn,0,2,0
Onigiriii,0,1,4706
-,0,1,24776
KajiRingo,0,4,230310
TEAM_MEMOL,0,1,1356751
Mamboo,0,7,158220
Singosari,1,0,95243
Burn Winter,1,0,391379
CAOTAIBANZI,2,2,420725
Free Butterfly,4,7,1298912
-,0,5,0
Another,70,35,13018497
Ja calpis de,0,1,0
-,1,0,82386
PLAC,0,3,557515
Friendly Player,0,2,0
CNTC,0,13,681778
Forever Night,5,7,885688
-,4,0,69048
SEMPERX,0,1,0
QuQnnTATnnOvO,7,44,6667639
UNGUILD,0,2,36932
Universitas Gamers Indonesia,0,2,18090
Farm Or Die,19,6,5262614
Pink 7,6,0,429220
-,1,2,407760
T O K Y O,0,2,15231
-,0,1,0
RAKUTAI,0,1,0
Blue coral,0,0,59574
UnifyVN - 304,0,0,439072
Stellar Alliance,50,33,4269117
Vanilla,1,1,385799
Vanilla,2,1,335781
KUMA,20,13,8832835
Lai tsai Project,0,5,28199
CoCa1nE,0,1,104834
CCTV,4,29,11015692
good bomb,2,22,15685313
One Shot,3,0,122380
HelIo Kitty,0,0,478472
HeIIo Kitty,37,27,48545950
HidE0ut,0,2,0
All The Villains,42,14,6027644
-,6,1,1192116
WADIMOR,4,1,34342
First love,0,2,404100
-,0,1,0
good bomb,0,12,26050368
-,0,1,0
Peng Lai Xian Jing,0,4,0
Bretonnia,0,0,254940
Bretonnia,15,6,1708230
MoneyHunter,0,1,0
HappyDay,29,21,4736573
-,0,0,2201
A you ok,24,42,5703922
Pink 7,7,2,838445
A Brave Man,0,2,114301
Mika,0,25,8931513
Farm Or Die,28,11,3768849
KongFu PanDa,53,23,24453003
Stellar Alliance,0,1,26702
Once Upon a Time,50,20,9839863
1994,0,2,206376
HuaDaBin,3,4,1157629
Dont Think,9,12,2784351
Invade,1,3,1006903
National Basketball Associatio,9,3,1280780
Griffin Empire,7,20,5829503
ROYAL CARTEL,1,8,32526
Tree Viper,44,29,10153668
NB FOREVER,3,9,1103195
snow forest,0,1,20590
KongFu PanDa,0,1,94042
Earn money,2,3,416038
nanjingdapaidang,5,2,577821
Judy no go Cindy no come,8,13,826665
Reiver,1,5,19539
Crazybabys,1,0,270548
Boar Army,14,15,6702062
PLANET,0,1,0
Pink 7,0,1,0
cat and rat,1,2,31715
Free Butterfly,1,0,61840
PLAC,0,2,1648372
cat and rat,0,1,26266
You Shall N0T Pass,6,24,5647851
All The Villains,29,28,8939841
PSC,4,6,1067584
Meow Immortal,4,5,413194
Never Regret,2,13,322264
NULL,0,2,152203
KNIFE,0,1,0
Stellar Alliance,0,0,46953
nanjingdapaidang,14,5,1137706
The Lonely Moan,0,4,404411
Old Man,0,1,181291
Not - Friendly,0,1,14150
The Wardens,0,1,7942
Xandros,0,3,84939
Basmi Ghufron,0,1,59818
Iron Dominion,0,2,23010
Ala,1,5,3210
-,0,2,43090
Summers,13,9,1886635
Meerkat Assemble,5,5,2426573
2026-07-06,8,4,2039546
Pierce,28,11,5580387
NULL,4,6,1552055
Jagdgeschwader 52,0,1,0
Packet Loss,3,3,168200
Pink 7,0,1,0
JMcomic2,2,2,176605
Shu Shan,14,29,5669459
Meow Immortal,0,1,16108
QuQnnTATnnOvO,10,16,3778270
-,0,1,227596
The Fide Blood,5,5,1346770
-,0,1,0
Topspire,1,2,181295
Invade,3,11,2307863
Shu Shan,5,2,265355
Nemo Nemo,0,4,588809
1Mmortal,3,9,2150568
-,0,1,0
yanyuge,0,1,0
Pristine,2,1,209963
Suger Babies,4,3,407760
China Daoism,0,0,52386
Farm Or Die,0,2,2192
PARAG0NS,0,1,0
The Loot Goblins,30,13,7036440
HELIOS KNIGHTS,2,5,100353
-,0,1,6537
Family Type,6,7,868372
HeavenFall,0,2,9137
Lunagon Island,3,1,314778
DEMON EYE,0,0,26751
Call to Heaven,0,2,0
The hairsplitters,0,1,0
M O G A,15,11,4998269
GOD of INNU,0,1,0
First love,8,4,1316575
Soul Refining Sect,0,3,17464
-,1,3,26117
KongFu PanDa,29,22,11894087
busibuxiu,0,1,11738
PLAC,56,44,21296916
Nemo Nemo,2,16,6821332
OverDaddy,1,4,429058
OneFame,0,2,46208
Never Regret,7,13,768353
Circus,29,8,2310561
First love,24,34,13268924
MINlONS,45,25,13762514
Korean Knights,3,8,47338
Harmonia Eternity,0,0,8302
RABBIT RAIDERS,9,12,1302658
-,0,2,23781
Alone in The Mist,2,5,82954
Stellar Alliance,0,1,912492
wswsws,0,0,200193
CMCC,23,16,8639808
Earn money,19,13,9834025
B o S,0,1,0
PSC,0,0,72392
Mamboo,0,3,321022
Dragon Blade,1,2,462403
1Mmortal,5,3,3909715
THE WARRI0RS,30,38,9428778
AK-47,0,1,1494
PoopooDancers,0,0,35214
AK-47,5,10,726012
Wind Cloud,0,1,58961
PSC,20,27,4513343
Reworld,51,30,11528085
Lai tsai Project,0,1,0
-,0,1,1395
1994,0,2,0
Pink 7,7,19,4816556
Tree Viper,0,1,0
The swallow,42,35,7616391
C O V Y,3,38,803796
PLAC,34,26,12112769
Peony Flower,1,4,4370536
Singosari,0,2,33138
You Shall N0T Pass,7,76,7969052
Crusader Kings,157,71,18232916
Crusader Kings,5,4,813091
NULL,10,36,7071237
B o S,0,5,510435
MiMe,2,2,206333
Free Butterfly,0,2,10684
Lucis Trust,0,1,0
AVA,1,0,166449
You Shall N0T Pass,6,22,1228914
Raining,0,4,174743
A X E,0,0,3191
NO-RE,60,52,25926274
Red Circle,0,2,852412
chuanqiwanjia,3,1,72691
Solo-King,5,10,4987274
Lucis Trust,0,2,0
All The Villains,0,2,628385
CRIMSON CONCLAVE,0,1,0
conquer,6,13,3309524
REZIM JOKOWI,0,1,0
-,0,1,0
ORANG JAWA,0,0,28560
DNS,0,2,94393
QuQnnTATnnOvO,1,3,2262168
-,5,3,201014
Crazybabys,3,4,137644
CCTV,0,3,1552274
DragonWorld,1,1,27895
Gungn1r,0,1,27682
Kunlun Jade QingJing,3,6,2762044
Future Party,0,1,137743
AAAAA,2,1,224916
Dragon-Mi,53,12,14506435
KuromiO3O,11,6,2236506
Rest home,2,2,48739
The Northern Lands,1,1,313080
Freaky Fools,11,31,3543163
cat and rat,0,0,1696
Forever Night,0,3,1311982
JOLLY,0,1,0
Aincrad Kina,0,2,0
-,0,1,0
Peony Flower,1,9,1775484
PSC,4,8,1690188
Old Man,2,3,229647
Meerkat Assemble,2,0,223548
Noctis,2,5,441732
Forever Night,18,21,3585989
A you ok,26,13,673643
MCS-P,1,1,966031
Free Butterfly,1,7,677344
TRlUMPH,1,0,799620
Meow Immortal,0,4,29236
MINlONS,18,9,5901818
Earn money,2,12,2006903
NO-RE,126,75,44810551
HappyDay,2,10,3570622
B o S,2,3,723892
Kingdom,24,29,4783380
PSC,17,9,2673454
Pink 7,0,2,83955
Kingdom,2,2,232529
-,0,1,1395
-,0,0,446723
Free Butterfly,9,4,1578531
CCTV,0,4,1849690
Wing of Liberty,0,7,194117
NULL,0,7,64452
CCTV,84,65,40163666
L122844033,1,5,34488
GOD EATER,10,6,2236367
overbudget,0,1,2756
-,0,0,161
Red Circle,22,29,2498112
Mika,1,2,1718406
GOD EATER,25,73,6930418
CVLT,0,1,24378
V A G A B O N D,42,43,18093786
-,3,0,199095
We asked,0,3,488141
WeAsked,0,15,1527821
TRlUMPH,13,17,6215942
WARRIORS INITIATES,0,2,11058
KUMA,9,7,1910327
good bomb,13,12,3623765
V A G A B O N D,2,1,136521
Another,5,4,1293988
GOBLINS,24,3,3920556
Rescue Station,1,1,278958
Fake engage,0,3,1966
Avalon Little Punch,0,1,0
Mika,39,42,27926532
MoneyMoneyComeOn,0,1,35990
Mika,18,5,5174299
Old Man,6,9,890535
PDl PERJUANGAN,0,0,2166
Crusader Kings,13,16,3726773
Dark Looters,9,40,2364303
CCTV,5,6,4432803
TAKEDA 24,0,7,157912
QuQnnTATnnOvO,0,10,2166191
Kunlun Jade QingJing,0,1,0
A you ok,53,11,3588872
Boar Army,2,2,402555
A Brave Man,30,6,627294
Mamboo,0,1,0
Meeting Stone,0,2,80480
PSC,24,13,3002354
SO EZ,0,2,0
Pink 7,57,40,5165848
Meerkat Assemble,45,12,12067238
Jia Nan,2,6,636574
Carrot Payment,0,1,0
Farm Or Die,1,4,2886309
red king,5,0,1092486
HanRyang,12,10,692677
Life or Death,16,6,568582
Red Circle,14,10,491796
Titan Blaze,8,2,52121
Free Butterfly,1,5,294568
Dotorii,2,0,104158
V A G A B O N D,7,14,9649702
The Black List,0,0,71587
I Slytherin I,0,3,85248
Crusader Kings,28,21,6650328
Mika,7,19,7477035
PSC,1,0,145061
KajiRingo,0,3,0
Noob Family,1,0,118012
GENKOTSU,0,3,63056
Die for San,0,0,97739
I The Flying Dutchman I,0,21,9610408
Summers,0,4,1407925
2026-07-06,0,2,1760095
CHILIZ,7,8,9093041
CHILIS,24,9,8037166
Save Me,1,0,169232
THEMERCENARY,1,0,55116
Mathias,0,1,5575
War Bears,0,0,10963
-,0,3,14849
Meerkat Assemble,1,27,10639905
-,1,1,121123
The Valley of ErdTree,2,6,343754
8-bit,1,0,59755
MARON EMPIRE,0,0,18651
-,0,0,7105
Peng Lai Xian Jing,1,0,81944
Midnight Rose,1,2,1132
One More Times,1,13,2421136
CCTV,3,2,1038854
RMT noob,0,0,47371
-,0,1,21932
GROUP,0,1,78315
Civic,0,0,898702
G U I L D,6,10,519544
Villain Society,0,0,536531
BYOT,1,0,46519
BL4CK SIGIL,9,2,593148
Forever Night,58,24,12530982
The Lonely Moan,0,4,0
good bomb,41,20,9954000
gorich002,1,0,77517
All The Villains,0,1,299509
Visayan Express,1,0,62370
-,0,1,0
Critical Impact,1,2,16527
-,2,8,75576
C O V Y,0,3,7142
War Bears,0,1,0
Call to Heaven,7,2,185367
Dragon-Mi,8,0,1556413
Meeting Stone,6,11,2148478
Future Party,13,7,2174253
HuaLiHuSao,44,49,1737982
Sapling-MIU00,0,2,2904
HIGHWAY TO HELL,1,13,746123
Healing Cannot Save,0,0,175890
Solo-King,1,11,4225033
-,0,1,15715
Dragon-Mi,7,7,483268
AAAAA,0,1,0
N Y X,1,13,1874236
Real ONE,4,2,2602257
good bomb,14,3,4915164
Summers,21,6,4726926
Free Butterfly,0,2,35608
Peng Lai Xian Jing,6,11,397354
HelIo Kitty,3,2,1635203
HeIIo Kitty,6,8,6453810
Gold Pigs,0,2,21715
The Northern Lands,2,4,226557
KongFu PanDa,1,4,123118
-,0,0,33956
Garden babys,6,1,302314
Red Circle,11,36,2009703
HeIIo Kitty,1,13,30770601
The swallow,1,3,108449
Free Butterfly,1,4,582352
Shining Star,22,25,3837334
PH CREED,0,1,0
Meerkat Assemble,1,17,10864282
legend crafter,0,1,2440
BangCuopLuongSon,12,18,374890
-,1,1,76374
GuGu GaGa,1,3,493122
-,0,1,0
Mika,38,6,13251869
xCUTIESx,26,11,11209473
GuGu GaGa,3,0,432188
TheGreyKnight,7,4,669135
Anggota-DPR,9,15,332280
-,0,0,21212
Griffin Empire,13,10,3307205
Nemo Nemo,0,2,249780
Mathias,4,4,203490
-,1,1,13203
SIX G0D,1,0,156842
E U N O I A,4,0,58026
Reworld,60,22,10968010
red king,22,21,10028507
INSENTIENTS,0,1,0
China Daoism,2,1,113300
AK-47,0,0,28496
