Player,Guild,Kills,Deaths,Fame
GodblessPoor,Lazy Bear,28,34,3640614
Tankeronly,One More Times,8,48,11024599
Statistics,Maharlika,54,51,15862910
Jisoo,All Rise,39,38,20347311
FistBaboon,Western Paradise,17,58,11050969
6thFrustration,MAX VERSTAPPEN,36,13,6086907
Minakata,Eternal Edge,56,15,33970571
Omuk,Maharlika,83,30,27858109
Alibaba1688,Artery,244,43,11362745
Rubiks,The Neighborhood,72,41,19785693
GLHFBalo,Maharlika,27,25,32153149
RedheadedBoy,HeIIo Kitty,107,26,29436789
roefaura,Conscripted,5,9,13176491
NiloDemiGod,Masked Bandits,66,53,16474119
AngLongNe,Griffin Empire,40,34,23776924
rbubububu,Chikipi,89,39,27295247
Heecate,not cute anymore,66,19,10831875
iwanzi,All The Villains,5,40,17785655
BM0,BeasTDaK,5,11,10454490
IDaWaeI,Snake Snake Fish Fish,95,35,16695804
YaBenWei,Artery,145,34,10494756
SchnellXD,Summers,11,10,32785301
MMLU,Meerkat Assemble,1,32,18802205
ElanciaXD,Meerkat Assemble,17,37,14234825
NATBAYA,Eternal Edge,49,46,20622755
RadaDibo,Conscripted,8,22,11514646
Acendant,S Y N D I C A T E S,88,35,13223046
ubkka,HeIIo Kitty,7,16,21801155
Natee,KNIGHT_OF_BLOOD,102,8,10350347
Boywithhat27,Maharlika,64,39,17802928
Shaggyyy,Summers,74,34,31818761
araachuu,Critical Impact,56,42,4885209
coldcarrots,Bread and Berry,84,31,25121822
Meow5five,Chikipi,42,32,20216754
JGen,Earn money,60,36,14878926
ze1799,Artery,126,34,12295391
0sio,Initial Engage,1,30,12391601
ShankzV1,not cute anymore,36,64,27228620
JaquelynMoto,Initial Engage,43,28,12379376
nomorefarm,XHCN,21,28,3968121
Oak08,Topspire,81,30,14218086
FanArmbrust,PLAC,22,33,22784434
dukeee,COALITION,10,30,11852817
V7V,HeIIo Kitty,109,17,35380594
DinYakz,Rescue Station,37,18,17844102
Emeng,All Rise,38,26,22754573
L0ngdan,All Rise,202,28,32500886
TreadWay,BeasTDaK,43,16,13229023
GoGoBeBe,All Rise,94,44,30061297
Riskers,Nemo Nemo,23,37,10251908
chuayi,Meerkat Assemble,41,40,13622762
Argovex,COALITION,3,20,12163048
ChinGouZhong,Snake Snake Fish Fish,40,41,16931072
Dino9527,PLAC,43,49,18552392
090909s,SubuTai,3,26,17699698
miaomiaozhaoli,PLAC,86,35,23880535
Mangkuwanitolimo,AFTERMATH,34,30,9713579
Ericnn,HappyDay,104,54,15553238
IamJH,Speed Check,43,19,4424587
chargeTT,Earn money,27,22,14142301
ninnonns3,Western Paradise,9,45,12356051
Toxicplayer,Snake Snake Fish Fish,22,31,19653009
mouxusheng,All Rise,31,30,32744621
Jennie,SubuTai,26,38,21117438
xBurninG,Maharlika,49,25,18689608
MimiBoss,Meerkat Assemble,3,19,17166586
Jiojee,Chikipi,80,28,21908371
Trailblazer,SubuTai,53,51,18434295
TTingLonGG,Minerva-X,163,32,25317364
hanbai,Maharlika,2,66,8248787
WemoCheck,Meerkat Assemble,29,34,14263608
FREDEL,Initial Engage,17,22,13780866
RenoKazaki,Griffin Empire,26,45,15259764
icoxico,Conscripted,20,20,11846465
cuixisi,All The Villains,86,23,21060554
79Doki,Earn money,3,43,10549589
PSchishi,Peng Lai Xian Jing,6,15,1173361
Jingle,F A M I L Y,59,30,21875395
kraoo,Earn money,72,27,18348309
Monelka,MAX VERSTAPPEN,91,20,4474455
TaMaGot,Ordo Musaceae,48,25,2896502
iydian,Artery,13,29,12867875
Comelet,Rescue Station,61,26,21348707
MMRmao,Chikipi,51,28,26067547
Yandare,snow forest,34,34,20664514
kanata3232,Allvg,7,36,9810920
Husky123,xCUTIESx,59,39,13137162
Eil999,xCUTIESx,18,34,13705345
Greennnnn,Chikipi,5,24,23145292
MugiTaroo,Maharlika,33,38,28300553
Dimwit,HappyDay,42,58,11929853
Pikachu619,Maharlika,1,53,14164374
Vipppp,All The Villains,114,26,26196640
RNRNisme,CRACKER,80,39,23334169
allxe,Maharlika,63,47,16399079
WeiMei1,MO GU,24,38,14203328
nansengran,Nemo Nemo,61,28,11395160
ruofu,Artery,65,29,9995216
develop,HeIIo Kitty,100,17,33257123
Gedozie,Pierce,29,16,4384391
Zapplein,AFTERMATH,56,29,12180929
Hukom04,Speed Check,59,31,3351975
MasterBungot,Meerkat Assemble,25,32,16113392
DubuBlue,Summers,66,21,24948658
Sunderingbeaver,BeasTDaK,9,21,10857358
LilLungHom,Orphic,43,26,3130352
stalma,Maharlika,22,69,17770305
fantasanity,KATANA,26,34,7205769
Iozon,Meerkat Assemble,53,23,13613871
Bumblebee,Maharlika,73,23,21036414
TaoMaMa,HeIIo Kitty,1,18,30528585
BENNN,not cute anymore,96,17,8881430
lzyy,Chikipi,38,12,30840310
MaxDefance,VELARIS,14,14,3737280
xXBaGeXx,MO GU,16,46,10570712
hjxlove,Earn money,9,32,15799076
dokeyfafa,chill here,8,27,16883168
ZhhELl,AFTERMATH,8,37,9040526
ohulk,Meerkat Assemble,17,18,21228409
BLackBird71,Solo-King,101,34,11770841
PressE,xCUTIESx,79,28,16133589
Tororru,Maharlika,43,35,18103950
HUAHUA0129,HeIIo Kitty,142,20,28495266
Melonkiki,Summers,38,23,26452681
MHBoss,Summers,68,22,28749833
AdoboFried,Conscripted,36,15,13122085
LUKOAN,MAX VERSTAPPEN,4,14,4390269
nigaroooo,Shining Star,12,32,6621618
Lilboweeb,MO GU,20,39,10610653
MuDDung,chill here,8,3,17158200
4011,All Rise,30,20,31980077
MrDazzling,Nemo Nemo,68,49,11475266
Boxboxdog,Maharlika,4,26,25445144
GGboomm,PalaceGUARD,52,21,33172179
Dniceee,ABSURDVOH,35,25,3812098
blueleap123,Initial Engage,6,34,13189173
dentan,Meerkat Assemble,29,21,12108893
ThongSniffrr,Speed Check,27,23,2872675
6DANDY9,Maharlika,18,39,12464521
Clock,S A B O N G,4,44,10464921
YuanTai,Western Paradise,19,35,9362676
Bolwingkol,Maharlika,21,43,15684085
KhanHoag,Rescue Station,12,30,20794695
0wo,CCTV,164,33,23685703
Belgard,CapybarAAAA,69,28,5374514
xiaopeng9999,HeIIo Kitty,153,40,39256859
ArthurKratos,Rescue Station,10,22,16959237
HomerSimpson,PalaceGUARD,106,12,37637805
YellyJacc,SyntaxErr,8,27,3152482
BJDOOM,ALBION AFTER S3X,7,31,2992143
thefastdog,MO GU,26,42,9885129
eloquence,Meerkat Assemble,81,15,13396900
BigGrandpa,PLAC,9,7,24890186
Ayehhh,Maharlika,38,35,20724484
Chimuinf,MO GU,19,34,16113074
StiffBeard,Wild Ape,78,45,23159487
TakingEasy,All Rise,109,34,23101753
xRagnarLothbrokx,MAX VERSTAPPEN,88,22,9734760
Moemoeking,Maharlika,0,19,18955851
LovelyGomary,Summers,20,19,23584091
ash1er,Maharlika,18,43,25042738
Reapers,THE WARRI0RS,38,29,2637292
