Guild,Kills,Deaths,Fame
D-I-S-B-A-N-D,255,198,27342640
Angles Mort,253,102,72376656
PEKA,253,436,35301080
Monkey Buisness,253,54,23314542
Catharsis,251,85,17707044
Sparks and Ashes,250,379,34263069
ThetfordMerchants,250,234,31340519
Gachi Gatherers,249,706,25059667
One Hell,248,613,33957789
F R E A K S,247,403,69341370
POKAKAL,247,234,29610557
SteelOrden,247,458,20897168
Lumen,247,519,10353807
Jhereg,246,258,20697216
Carleon Blood Contract,245,228,14567395
AFTERMATH,243,170,81134386
CALLIDUS,243,504,21425285
Zawkwar,243,419,11425344
War Fangs,241,275,22695739
Sangreal,241,682,21122602
Eshfold,240,294,51497752
Dynastia Egiptu,239,371,24606760
SCREZHET METALLA,239,445,19792226
CABOOM,237,205,32281137
Vile Hogs,237,95,23448991
HellWisee,237,307,21595814
Nebukadnezar,237,413,20538930
Tai Chi_YUN GU,237,290,16230430
A7squad,237,269,13673941
Cappuccino Assassino,235,701,40296538
Le Clan Destin,235,348,18280891
Bl1tzkrieg,234,106,23617289
White_Birches,234,21,5881756
Vanerna,232,180,16273283
WIPED,231,146,26288708
G U I D E S,230,553,40315818
Rat Cartel,228,183,57265764
SKYWOLVES,226,584,39229483
Vermeil,226,19,25626623
Damnificatia,226,581,23310561
BES,225,269,13094050
RECONNECT,224,281,52971245
Panem,224,206,13206489
albionbugda,223,48,14873938
40-1,221,269,41677747
Nuisance,218,323,18661505
La Compagnie du Lys,217,439,19150456
LAST LEGI0N,216,426,20965391
Quick Response,212,109,68348940
GROMDA,211,100,54501803
Kermit Squad,210,61,11577071
Overcharged,209,405,37090286
Skan2017,209,367,23105823
Yamato Club,209,406,13004799
Laughing Coffins,209,36,9523300
Motley Crusade,203,93,47673226
WaIkThem,202,165,32466979
R E Ds,202,314,29046317
Gotham,201,193,96645320
K P E C T,201,226,13678716
CHUB,201,166,5634598
Lunar Wolf,197,541,31328633
1 3 3 7,196,198,44434624
Blood Monkey,196,307,18394468
I-zeb,196,405,17486383
CRASHBOYS,196,88,13556327
Kingdom Of Georgia,194,403,30104880
Crimson Serpent,193,259,28807930
G O L D E N A R M Y,193,119,9615165
PEPE SHNEINE WOTAFA,192,62,65582171
Gay Mafia,192,289,26458892
MSB,191,200,76330974
9Abila,191,185,69815948
In Articulo Mortis,191,72,21973902
II Black Mamba II,191,275,19993002
Being as an ocean,191,312,13186267
Still Cooking,189,209,32988051
Billionaires,189,399,25503384
Torgnoles et Grabuge,189,222,21538368
GRUZ 200,187,24,13842033
CUM on Gankers Lips,187,137,12621378
Last Resort,186,144,42985444
Roots of Nature,186,463,23586383
Game City Pro,185,538,24632007
Mortlak,185,272,12849127
Fight Club,184,177,22533147
Kupechestvo,184,394,14917924
BERSERKION ACADEMY,183,531,16028580
Elixir,182,126,67975361
Gachi Club,181,538,37134592
F I S T,181,140,13528638
Arz3,181,88,7138508
4SAN,180,130,37036385
WarSlugZ,180,39,9858548
CapiMastri,180,77,8668734
OnSight,179,189,24479168
feiwo,179,211,12832841
Hepe gay,179,10,3311906
NoFaceSClub,178,169,69558696
KICKFLIP,178,169,67599040
long-men,178,368,41180834
The Freedom Trail,178,279,23315216
Sindery fan club,178,200,16824967
Dungeon Slayers,178,432,16323751
The Woo,177,74,87481005
Storm Reign,177,388,26703487
New Force,176,312,10271246
N O R T H,175,236,8600075
Micar,174,406,15522267
Obsidian Dawn,172,185,44963999
LABUBU TIME,172,147,16654944
iceCold Crew,171,960,29119449
Maly Gang,171,284,20607471
Crimson Imperium Reborn,170,370,34799693
Ov3rLords,170,317,9262726
Entity,169,189,44591915
EWENEMENT,169,458,14396228
AQUAMARINE,168,311,22269070
Astres des Mages,166,178,17814742
Hasmetly,166,51,11957865
PSA,164,670,19510937
Carapau Squad,164,22,10766111
Dragon King,163,337,13981062
pro noobs,163,107,11220545
Line Breakers,162,91,19324388
Berkut,161,396,29511014
BLADE2FACE,161,357,16208507
KATANA-XS,161,309,8080873
HelIo Kitty,160,178,43901435
I URSSAF I,160,102,12657448
APOTEKA,159,129,29800418
Silly Little Men,159,104,13086158
Ze Germans,158,286,12864227
Sex and Flex,158,25,9786234
DZ GUILD,158,163,4440766
Anaconda,157,158,51851050
No Cape No Shame,157,138,18250720
ShinySun,157,34,14913742
M I C R O B E,156,29,7212866
Unforg1ven,155,173,30750935
DraGonGods,155,261,12211987
Molterians,154,173,19128972
CoffeeTime,154,244,11119119
Fire On The Pistons,153,151,22836243
AltMetall,153,251,15549869
Gallia Rebellis,153,86,12928201
Black Sheeps,152,245,11742164
ELVEN Echo,151,101,28512635
Lupus Dei,151,26,11176688
Redskulls,151,63,8402536
ANKLAW,150,63,32286793
Gabao,150,388,17778264
FamilyFriendly,149,299,22878985
Phantom Palace,149,188,19876791
RESET CD,148,39,13059638
Enjoyers,147,121,19935678
FromDuskTillDawn,147,56,17053344
The last survivors,147,192,12016165
BATUTIKI,146,156,38295150
Uniesienie,146,292,19944945
Rising sun in Eclipse,146,337,16270396
Crimson Blade,145,267,34909780
Chauve-qui-peut,145,27,15164951
Shattered Legion,145,367,14166912
VELUM,144,169,24680975
Chaos Coalition,143,403,27611005
FutuRama,143,235,22733262
DieLuebeckerHanse,143,292,13269273
Fish Lovers,143,45,7046514
Goop Group,142,73,42109229
Legions of Angels,142,162,14560855
H A R D C O R E,142,119,14228165
Outrage,141,66,30762457
Gemu,141,105,12163972
D E E P,140,84,32056318
League of Victory,140,284,10852833
Unbalanced,140,39,8221835
nuova gilda,139,122,56029130
DevilsCape,139,172,9876304
ROMKA,138,71,51633904
Dost Meclisi,138,223,12422016
HEXTECH,137,123,30057796
BeBeBus,137,503,19380951
Zero Resistance,137,86,9856425
Dawn,136,306,26418883
Look at all those chickens,136,77,6804661
Stuffy Bunny,135,288,24424060
Ex N1hilo,135,133,10643313
Spec Supremacy,135,155,6982887
Escuadron Suicida,134,279,10515615
CTFC,134,82,9310698
Warownia,133,425,25202675
Delicious in Dungeon,133,139,18812712
Empire of Hell,133,486,12500986
Hakuna-Matata,133,99,10695935
KYZNECHIKI,133,183,7766254
Los Pepo Clown,133,99,7181886
La Confrerie du Canape,133,84,6416400
CTPAXA-HET,132,117,34112092
T O Y,132,74,13915030
Shatterpoint,131,101,7824547
Zakon Bialego Gryfa,130,200,21416185
Mata Gabachos,130,319,16206405
The Arabian Empire,130,98,14857748
INSENSATOS,130,97,10434530
HBSB,130,180,10005380
ATBFeshoin,130,90,9891306
3 days of farm,129,78,17201197
TEAM BLAST,129,315,15239007
UNR,129,179,10952616
SoulEater,129,58,9673707
BloodStriders,129,103,6193458
Ezoterik,128,158,10645366
Dispatch,127,183,16332480
The Dungeoneers,127,518,11918167
Deepseek,127,117,6562663
Very Very Hard,127,29,5407798
Fates Keepers,126,264,13920306
NAGIBATOR,126,363,12940055
Geyikli Gece,126,161,11756683
Deal or Die,125,188,13987887
We Care 4u,125,280,11917870
BENZBIBA,124,105,10566483
GremlinSSS,123,189,36431799
For the North,123,264,16931077
Wrong Turn,123,187,16577796
Crusade of the Bloody Legion,123,259,11168700
Polskie_Gey_Party,123,15,10618493
Anal Festival,123,218,7967264
Costa,123,145,7698201
F-A-T-A-L-I-T-Y,123,131,7180791
Treasury_Caerleon,122,23,10001047
Azure Blades,122,82,7866850
La Meute du Crepuscule,121,285,25584245
BallsOnYou,121,73,18988946
Crimson Sun,121,263,11838309
ORIGINALSS,121,224,7724846
Instic,120,97,27748760
Silent Plants,120,61,12158628
B_E_A_R_S,120,409,9145842
GORILLAZ GYM,119,204,17092469
Silent War,119,309,8874188
Chorus of the Unseen Guardians,119,88,8264219
UwU,119,36,7279244
Eclipse,118,148,23420341
Neck Breakers,118,102,14756449
Les Chomeurs,118,111,7679016
Aggressively Average,117,108,6864393
ZLO,116,122,7503960
PUSH OR DIE,116,172,4717258
O N C X L O G Y,115,179,24265193
Gloria Victis,115,241,10095261
Paradise,115,72,10052181
TBARI,114,201,18672878
ClownsEXE,114,83,12879645
TNT,114,54,10071428
Daisho Rojo,114,321,10023005
PVE RU Albion Group,114,207,8638114
fly panther,114,38,8580088
HORROCRUX,114,266,7037771
M I L F G A A R D,113,156,33730277
Kebab Team,113,209,14123268
Unknown Entity,113,189,13367390
GorkAndMork,113,77,8546044
B E R S E R K R,113,149,8267950
Hyperium,112,82,35532343
Uziemienie,112,171,22005353
Nordheim,112,348,14622161
Bare Minimum Bandits,111,123,49383141
The Court,111,224,25447088
JUST SM4SH,111,181,12937312
EL COLMILLO 23,111,388,12185649
Stay Out of Our Water,111,95,10566466
M O O N,111,71,9034812
Death Watch,111,38,8779442
Persitas Amorosos,110,86,24815878
ABYSS TO HELL,110,105,9534036
POMOIKA,110,136,6960151
Teamspeak,109,63,40373801
Fearless,109,119,20890603
DeaI OR DIE,109,384,14387993
The Ashen Order,109,155,9718623
Forajidos,109,346,7390903
R A I N,109,174,5767554
BGFR,108,128,14679955
szafagra,108,25,6363640
Shadow Garden Army,108,277,5997826
C O S M O S,107,30,26737646
Crestavia,107,54,12040432
Ne me kite pas,107,14,7271532
Arise of Turks,106,118,13378941
TEMPLARIO 3,106,236,9326521
Stark,105,221,21766445
Never Trust King,105,130,9707359
NecroVision,105,122,9419821
Golgari Army,105,237,9021513
Highdale,105,240,7255017
DLUGOLEKA,104,59,33666869
TERRANOSTRA,104,117,11754636
No Mistakes,104,131,8166801
chtulhu,104,166,6737743
BANE,103,357,14232783
