Guild,win,loss,Total,Winrate (%)
BL00DB0RN,0,5,5,0.0
BL4CK SIGIL,4,9,13,30.8
BLACK CLOWER,0,2,2,0.0
BLACK DOG,0,2,2,0.0
BLACK FLAG TRADERS,0,1,1,0.0
BLACK MONOPOLY,2,0,2,100.0
BLACK STAR,4,10,14,28.6
BLACK WATER,1,6,7,14.3
BLACK WIND,1,0,1,100.0
BLACK Zazaa,3,4,7,42.9
BLACKHEAVEN,1,2,3,33.3
BLACKWATCH,0,1,1,0.0
BLKLUNGZ,0,5,5,0.0
BLOOD OMEN,1,11,12,8.3
BLOOD SHDDER,0,1,1,0.0
BLOODS,0,1,1,0.0
BLUE RAIN,0,1,1,0.0
BLackSilver,0,1,1,0.0
BORN AGAINN,19,4,23,82.6
BORNEO Lands,0,8,8,0.0
BQ OC,0,1,1,0.0
BRAWL ARMY,1,2,3,33.3
BROTHERLY,4,4,8,50.0
BTAXE,0,2,2,0.0
BULAN BINTANG,8,14,22,36.4
BURMESE ACADEMY,0,5,5,0.0
BURONAN,6,18,24,25.0
BW hammers,1,0,1,100.0
Baby_Paradise,2,13,15,13.3
Backup Station,37,25,62,59.7
Badranaya,1,0,1,100.0
Balbal Tayak,0,1,1,0.0
Balloon Corporation,0,1,1,0.0
Ban,39,19,58,67.2
BangCuopLuongSon,3,3,6,50.0
BanhMi-Gang,4,9,13,30.8
Bank Kuro,1,0,1,100.0
Bank Rakyat Jelata,1,1,2,50.0
Bank of Cahrion,0,1,1,0.0
BankAiolos,1,5,6,16.7
Bapack_2Nge-Game,0,2,2,0.0
Bapho met,0,1,1,0.0
Bard Of Anarchy,0,2,2,0.0
Barudak Waluh,0,2,2,0.0
Baschu Lymhurst,6,9,15,40.0
Basement Dwellers,0,5,5,0.0
Battle Maniac,10,25,35,28.6
Battleborn,40,41,81,49.4
Baybayin,7,0,7,100.0
Bead House,0,2,2,0.0
Bearbaric,0,2,2,0.0
BeasTDaK,126,102,228,55.3
Beautiful TaiWan,0,1,1,0.0
Beavers,80,68,148,54.1
Beggars Of Thetford,0,1,1,0.0
Beginners Base,0,1,1,0.0
Behavior,59,142,201,29.4
Belial,3,4,7,42.9
Believers,26,53,79,32.9
Ben and Ben,0,2,2,0.0
BerkOC,6,1,7,85.7
BetaLega,0,1,1,0.0
Beyond Infinity,2,5,7,28.6
Bhabhi Lovers,0,15,15,0.0
Biceps,0,4,4,0.0
Big Black Cat,1,1,2,50.0
Big Boost,0,1,1,0.0
Big Daddies,0,1,1,0.0
Big baby,0,1,1,0.0
Big mom,24,41,65,36.9
BighealEya,1,0,1,100.0
Binary,9,8,17,52.9
Bites the Dust,0,4,4,0.0
Biu BiuBiu,4,9,13,30.8
Black Candy,0,1,1,0.0
Black Cl0ver,1,2,3,33.3
Black Claw,2,2,4,50.0
Black Garuda,4,5,9,44.4
Black Haze,1,0,1,100.0
Black M0nkey,2,3,5,40.0
Black Mist,1,1,2,50.0
Black Sails,0,4,4,0.0
Black2White,0,1,1,0.0
BlackParadise,0,3,3,0.0
BlackPirates,3,1,4,75.0
Blackfang Covenant,15,22,37,40.5
Blade Mail,0,2,2,0.0
BladeBound2,0,1,1,0.0
Blasphemine,3,0,3,100.0
BlooByz Warrior,0,1,1,0.0
Bloodtype,1,0,1,100.0
Blue Ice,0,8,8,0.0
Blue Mist,3,15,18,16.7
Blue Phoenix,42,37,79,53.2
Blue coral,12,16,28,42.9
Blue house,63,65,128,49.2
BlueOwl,0,2,2,0.0
Bo tuoi,2,5,7,28.6
Boar Army,128,224,352,36.4
Bone gang,2,6,8,25.0
Bonjour,2,5,7,28.6
Boom l1i,4,3,7,57.1
Borneo Almighty,0,2,2,0.0
BounTy_TH,7,29,36,19.4
Bowscale,2,2,4,50.0
Boxers,6,8,14,42.9
Brains n Brawn,0,2,2,0.0
Brand of Light,0,2,2,0.0
Bravo,0,1,1,0.0
Bread and Berry,46,58,104,44.2
Brecilien Laborer,0,1,1,0.0
Bridgewatch Academy,17,12,29,58.6
Brightshield,2,1,3,66.7
Bringers Of Ouchies,0,1,1,0.0
Brothers Union,0,1,1,0.0
Bua Liem,1,11,12,8.3
Buffolo,2,1,3,66.7
Burger King,1,3,4,25.0
Burnt Spider,0,2,2,0.0
Butchers,0,2,2,0.0
Buzztard,11,51,62,17.7
ByronxyStore,7,1,8,87.5
C A E S A R,28,13,41,68.3
C A R N A G E,2,7,9,22.2
C A S T,1,1,2,50.0
C H I,5,7,12,41.7
C H I L L,4,6,10,40.0
C K S,27,35,62,43.5
C O V Y,35,106,141,24.8
C R Y,4,2,6,66.7
C-M-R,0,2,2,0.0
CACING NAGA,1,11,12,8.3
CAGYL,0,1,1,0.0
CAIB,4,4,8,50.0
CAIJI FAMILY,0,1,1,0.0
CALICO,0,1,1,0.0
CAOTAIBANZI,7,13,20,35.0
CAPITALYSM,2,2,4,50.0
CASH CORE,1,15,16,6.2
CATHEDRAL OF RAT,37,39,76,48.7
CBF,1,0,1,100.0
CCAV,7,13,20,35.0
CCR,1,4,5,20.0
CCTV,130,111,241,53.9
CCTV-13,4,3,7,57.1
CENTAURI,3,4,7,42.9
CHAMBER OF RAT,0,1,1,0.0
CHANG,91,197,288,31.6
CHIAROSCURO,1,4,5,20.0
CHINA-SHENZHEN,0,2,2,0.0
CITY17,0,1,1,0.0
CL OV ER,4,6,10,40.0
CLOVER EMPIRE,0,2,2,0.0
CLiCK ME,0,1,1,0.0
CN V587,0,7,7,0.0
CNTC,10,37,47,21.3
COALITION,98,112,210,46.7
CONGREGATION OF INFINITY BLADE,7,12,19,36.8
CONQUERORSS,0,10,10,0.0
CONTRA,1,1,2,50.0
COOPER,0,3,3,0.0
CORPSE COLLECTORS,0,2,2,0.0
CORRUPTS,0,4,4,0.0
CRACKER,90,63,153,58.8
CRAZY DIVER,1,4,5,20.0
CREED INTERNATIONAL,22,63,85,25.9
CRIMINALS,3,2,5,60.0
CRIMSON CONCLAVE,2,9,11,18.2
CROWN ON TOP,0,1,1,0.0
CTA,79,62,141,56.0
CTRL ALT DEL,28,59,87,32.2
CUT OFF,5,1,6,83.3
CVLT,8,6,14,57.1
CXKGG,0,3,3,0.0
CYNCYN,0,1,1,0.0
Calbee,16,10,26,61.5
Calderock,0,1,1,0.0
Call to Heaven,6,14,20,30.0
Cally and Friends,0,1,1,0.0
Camilers,2,7,9,22.2
Camphunter,2,0,2,100.0
Cang Hai,0,2,2,0.0
Cao Lao Trang,6,11,17,35.3
CapybarAAAA,164,123,287,57.1
Capybara Fam,4,2,6,66.7
Cassanova Army,0,1,1,0.0
Cassiopeia,0,2,2,0.0
CasualGamer,0,1,1,0.0
CatTester,1,9,10,10.0
Catalytic Prospect,5,9,14,35.7
Cats Nest,6,7,13,46.2
Cattails,1,0,1,100.0
Cavalry,5,5,10,50.0
Celeng-Hitam,0,1,1,0.0
Cempaka,0,1,1,0.0
Centris,1,2,3,33.3
Cerydra,0,1,1,0.0
Charming Family,1,0,1,100.0
Chaser of The Wind,0,1,1,0.0
Chasseur Expeditionnaire,0,3,3,0.0
Cheer,15,14,29,51.7
Cheese N Greed,0,1,1,0.0
Chicken Catching Party,10,14,24,41.7
Chicken Nuggets,7,9,16,43.8
Chicken-Doctor,1,0,1,100.0
Chien Binh Portal,5,3,8,62.5
Chien Than,29,38,67,43.3
Chien Than Academia,18,19,37,48.6
Chihuahua Family,0,1,1,0.0
Chikipi,130,88,218,59.6
Children Of The Dragon,38,74,112,33.9
Children of Epstein,1,2,3,33.3
Chill Play,1,1,2,50.0
Chilling Smite,0,1,1,0.0
ChimCha,0,1,1,0.0
China,5,21,26,19.2
China Daoism,3,8,11,27.3
ChipsO Federation,14,22,36,38.9
Chlamydia,9,34,43,20.9
Chola Empire,2,3,5,40.0
ChoonWah,0,1,1,0.0
Chosen,2,0,2,100.0
Chosen Few,20,79,99,20.2
Chou Xiang,1,0,1,100.0
Chowking,12,3,15,80.0
Chronos,0,1,1,0.0
Circle Badut,0,1,1,0.0
Circus,41,55,96,42.7
Claim Trade Co,0,1,1,0.0
Clap Me Daddy,29,19,48,60.4
Clavem,1,1,2,50.0
Closure,0,1,1,0.0
CoCa1nE,36,76,112,32.1
CobraKai,1,2,3,33.3
Coco Cafe,0,1,1,0.0
Comatozze,0,1,1,0.0
Comfort Zone,0,1,1,0.0
Commonwealth of Albion,0,1,1,0.0
Communist Youth League,1,1,2,50.0
Concordia,2,13,15,13.3
Connected Circles,1,1,2,50.0
Conscripted,106,69,175,60.6
CookieGamblers,0,2,2,0.0
Cosmic Party,2,0,2,100.0
Coup De Bisaia,0,1,1,0.0
Coup de grace,83,125,208,39.9
Courageous Cucks,0,2,2,0.0
Couriers Guild,1,3,4,25.0
Court of Nightmares,11,23,34,32.4
Covenant of Champions,1,2,3,33.3
Craft101,0,2,2,0.0
Crafter V,1,2,3,33.3
CrazyBearZ,0,1,1,0.0
Crazybabys,28,57,85,32.9
Creation Camp,26,25,51,51.0
Creation Ph,1,1,2,50.0
Creative God,1,7,8,12.5
Crimson Dragon,1,0,1,100.0
Crimson Radiance,73,56,129,56.6
Crimson Shadows,3,3,6,50.0
Crimson Slayer,0,1,1,0.0
Crimson Vision,0,1,1,0.0
Critical Impact,74,62,136,54.4
Crocodile Contractors,3,6,9,33.3
CrossBlade,5,29,34,14.7
Crown of Ash,1,5,6,16.7
Crownbound,7,6,13,53.8
