Guild,Kills,Deaths,Fame
INTERDITS,1,4,655059
-,0,1,0
fortis bellator,2,6,25746
Mundo Balca,5,2,55281
Pirates creed,16,9,356888
Leyendas del Vacio,0,0,110518
Knight Blood,2,0,49898
VATICANUM,0,1,0
Hollow Specs,37,3,1348143
Velo Rojo,2,7,502160
IIFures,2,1,135918
NIGHT GU4RD,6,10,831342
-,0,1,0
Open-Fire,0,2,10937
Eikonic,2,2,649484
This-Promise,2,7,217989
-,3,0,434951
SOLDADOS X,0,0,38091
los lecheros supremos,0,1,129520
N A G A S A K l,3,5,1078438
Hamburg Kid,2,3,391397
Pochos Anonimos,2,4,332965
Capy Crew,1,3,131610
RUINAS DE AKRAN,24,18,1461156
-,0,0,29189
ELITE MONKEYS,0,1,0
N A M 3 L E S S,0,0,84410
VALHALLA BLOOD,0,1,5587
Evil Kool Aid,37,59,22268306
TH3 J0KER,0,1,213031
-,0,1,0
Make Fame Great Again,2,1,49010
D I N O C O,16,27,10259405
I M O R T A I S,9,20,6954940
-,26,6,1459271
NoFreeThinkers,9,0,1377224
IIFures,68,6,30591934
R10T,8,2,787705
Evil Kool Aid,21,8,4779814
Bryllanos,4,5,993620
Evil-Tun-Tun,2,1,970603
IFures,24,30,13557408
IIFures,0,5,1239765
-,0,1,0
Banddle City,0,1,70250
Euroboros,0,0,448606
FUERZA FENIX,1,2,123405
Pay_For_It,0,1,4504
White St0nes,0,0,9014
-,0,0,118519
Treasure Tales,1,8,43796
Pay_For_It,0,6,126212
The_Genei Ryodan,0,0,6594
DEVTA,0,1,18616
The WildRovers,0,2,25580
CLUB - S P A C E,1,0,52862
Los Monkys Locos,5,14,350160
Pochitos Salvajes,0,2,0
Rage of Camelot,0,0,9832
Gankers LetaLes,4,1,723874
Los colectivos,0,0,4105
IM NOT RETIRED IM FISHING,0,1,899886
EVIL ROGUE NATIVE,0,3,789971
Punky Punki,0,4,1698419
L 0 B O S,0,1,0
Evil-Gank,0,0,12024
The Aegis Project,0,1,0
WarBorne,0,0,1200
INTERDITS,0,2,77010
TT Black Secret TT,0,1,24322
R3ckless,1,3,9555
LOS COMPADR3S,0,2,97328
B L I N K,0,2,0
VENENO BLACK,0,0,30059
Hall of Cinders,1,1,1552
-,0,0,55381
Legion Ainz,0,5,1354860
Roses-Academy,0,3,3058390
Contingent,2,2,2256969
Outlimits,17,16,4375281
PllVAS,2,4,830677
avalon proyect,0,1,0
Epic Hobos,0,1,20025
-,1,3,27581
Lineage of Shadow,1,3,154932
Tenochtj,0,6,25534
Upside,8,10,13618733
Black Dragon Aeon,20,46,11272512
COLMILLO DE PLATA,0,1,0
Sea-Sky Fraternity,0,1,0
Last-Pass,0,1,0
M O N A S T E R I O,0,12,2261239
SEU BOI E MEU,0,2,34559
RATATU1,5,18,1580733
PEUGEOT 206,10,11,2369870
Rage of Camelot,0,1,89536
Pirates creed,0,1,4722
CUBAPVP,0,2,9480
IRONCLAD COLLECTIVE,0,0,5634
HALCON BLACK,0,1,0
A S T R A L I U M,10,16,1825462
SunOfGods,5,18,1510265
Mythic Vanguard,3,5,264174
Culto del Kraken,0,3,85597
Paladines de Teemo,1,6,27280
-,0,1,0
S k y y y,0,1,288
K 4 R M A,2,6,711013
Las Cabras,1,3,291106
Iraven,4,2,163201
CUBAPVP,0,1,0
More GG boy,1,5,548866
Crux Del Sur,4,6,394522
SunOfGods,3,2,57937
Bryllanos,6,44,3733294
Egipto,1,1,4410
PlVAS,121,42,20045009
SOMBRA-DA-MORTE,0,4,5114
ENTIDAD,0,3,80597
-,1,10,354393
Curs3dGr33D,2,6,307313
Upside,0,4,186418
W A I T I N G,1,2,241311
Gankers LetaLes,2,0,271298
Y O R U,0,0,57855
-,0,0,16894
LA M4FIA,2,1,600032
YOU_ARE_DEAD,18,18,2822419
Espadachines Negros,0,2,239861
HULAJ,1,0,9238
Prophets of Death,0,1,0
-,0,1,2785
S H O T T A S,2,10,476983
PLAYB0YS,1,6,792630
W A I T I N G,1,12,1862760
U Are My Profit,21,8,2876886
L 0 B O S,0,2,402976
Blodfang,0,3,414497
-,0,1,0
RADlANT,0,0,102478
-,0,1,0
1AZEROTH1,0,12,998372
Eternal Defiance,1,3,2593602
Harvesters of the Hopeful,3,5,176309
VIGILANTES DEL TEJADO,0,4,196659
-,0,0,2257
We Profit,15,8,4251933
desavence,4,3,471455
-,0,1,3358
LEGADO DE FENRIR,0,3,3189
Mafia Sindical,31,26,10611243
VENENO T8,0,9,886401
XxvalorsxX,0,2,0
turromantiko suip,0,2,0
Instic,1,5,1493811
Prophets of Death,0,3,3048
-,0,6,37793
I M O R T A I S,3,20,4624369
-,0,1,0
IFures,7,2,2834470
D I N O C O,8,7,3242035
Flying-Pigs,9,6,1888601
-,1,0,21507
FURIA DIVIN4,0,2,464
l HAVOC l,2,3,185858
PescadoresDeLymhurst,1,6,26248
O_V_E_R_L_O_R_D,0,3,23671
Metodo PVE,0,1,185762
RONINS_BR,1,5,40629
Evil Kool Aid,16,25,9108653
Amigos do Blackjack,0,1,0
ETERNOS DRAUGR,0,0,3406
-,2,3,505405
G4NKB4NK,2,1,20447
-,3,8,209030
Hydra Corporations,0,0,31750
M1st Abusers,10,1,696215
x Pacto Da Ruina x,0,1,198337
POTA POTA POTA,94,23,27078557
Faction Army,0,0,3807
The Darks Family,0,1,0
H3rois da Tret4,2,2,64961
We Profit,1,17,16540777
DEATHMARU,0,2,20546
IzFamaly,4,9,114633
Loucos Por PVE,1,2,49292
Black Sun Reapers,0,0,1205184
Legio Fulminis,4,9,862178
-,0,1,1597
x Militia x,0,2,251738
FaIIen AngeIs,0,1,0
Gambito da Garrinha,8,4,3031686
C 4,1,4,179509
We Profit,4,15,4588451
T R A S H T A L K,2,0,194321
x Pacto Da Ruina x,1,1,248743
Death Sentenc3,5,5,700567
Gambito da Garrinha,31,5,4635637
-,1,0,35397
Free Beer,0,3,130359
Rents Due,0,4,8489
B U R N I N,1,0,138398
R 4 V E N,0,1,26056
Arcosanti,0,1,8842
-,3,5,424456
50 tons de Bagres,2,0,280962
The Legion Of Asgard,1,0,93312
I Warriors Company I,4,4,278131
E F E,2,1,86578
ADF_CITY,0,0,26448
The Dragon Born,0,1,0
LycorisRadiataa,7,20,5289277
YOU_ARE_DEAD,1,3,841789
R E H A B,3,11,1090408
TDK,0,1,24
Dismount And Death,0,0,16826
Hydra Corporations,1,3,176915
Insanos por PVE,0,0,59867
CLAP BACK,0,1,15929
AIea iacta est,4,1,625053
REYES DEL TIEMPO,0,1,0
T H E K R A K E N,0,1,0
S K Y R 1 M,1,5,59030
-,0,1,8407
FUERZA FENIX,2,5,222115
Puchainas Gordas,6,7,273607
PatitasMagicas,0,2,56078
SacredCreed,0,6,113161
Hunter Assasins,0,2,20848
CAZA GANKER,11,6,1224560
TheMonument,0,3,296857
Salseo,0,1,132594
Blades of Avalon,8,5,338688
Mind gap,0,0,221013
Warlord Syndicate,0,2,329148
The Rugrats,0,1,0
Furia Nocturnx,4,4,37466
zGameZ,1,0,228372
CaracasCity,0,1,55016
YOU ARE LOOT,0,5,0
True Gentleman,7,4,2689263
YSLINGOLD,0,0,34622
Skyrise,0,6,340907
Kchados Por La Leche,0,0,25203
Rokosos,0,2,271657
-,0,1,0
aloneenlalone,0,2,0
FUERZA FENIX,0,1,186472
FORT STERLING BR,4,7,281579
-,0,1,0
X-Noxius-X,1,1,30025
-,0,0,18303
HiDrA Reborn,1,11,752453
Legio Fulminis,5,14,2462591
-,1,0,21385
TheMonument,0,6,1346839
A N X X I E T Y,3,14,2255872
True Gentleman,11,25,2716148
Outlimits,10,7,5330233
Red banditss,6,3,480698
f-BarZini,2,4,158424
Secret Vanguard,1,13,251246
-,0,2,54209
SANGR3 NU3VA,0,1,0
-,0,1,0
SWORDX,0,0,126322
Furia Nocturnx,0,1,499996
-,0,2,0
HOPLITA,4,11,1699768
Faction Army,5,10,1007800
DARKM1GHT,103,15,28402476
DOUX,0,0,21253
HELHOKlS,0,0,26036
Kedoin,2,4,327175
Last-Pass,5,8,1416624
AltoRango,1,8,69652
Os Templarios das Trevas,5,9,609536
IFures,0,3,3430726
Acolitos Sombrios,10,0,681709
R E Q U 1 E M,10,14,3405857
LATIN WOLFS 999ms,2,11,315368
