Guild,Kills,Deaths,Fame
GO INSIDE,500,228,94645418
HUJING,586,272,96880701
BLACK---BULLS,34,16,3402097
MelhorGestao,19,9,4576416
Stay Close,630,299,282696602
GELO E TECO,736,350,306524897
B E A R P A W S,590,282,59922051
Tejones Tacticos,46,22,4275129
Victory or Valhalla - NA,1068,515,260874418
A N T O X I C,37,18,2440263
I Paradise I,404,199,115729744
TU MAMMA,1554,768,669490205
I SURGE I,381,189,160425510
Guardias Imperiales,2,1,343222
insolated,2,1,220987
Papusoides,2,1,73272
PLAN 3K -GENTE POSI,2,1,57540
HELLROAD EAGLES,2,1,33074
H U M U N G O S A U R I O S,4,2,728994
CARAMELITO ARMY,10,5,1825158
P R E D A T O R Z,2,1,199802
A Democracia,2,1,51432
Aguilas Del Zulia,2,1,228115
La Frontera del Dragon,4,2,401134
AlfxOnTop,2,1,347448
J U S T I C L A P,2,1,422522
FARMER MONKEY,12,6,1506479
WhyYouLying,4,2,1483221
Mia khalita anti-gank,4,2,101521
Legiao Inquebravel,2,1,49244
los toros negros de tanos,2,1,25944
C4rpe D1em,2,1,327799
LOOKSMAXXING,2,1,71358
In Dungeon,2,1,42013
PunhosFlamenjantes,6,3,485784
Kings Maps,2,1,51624
Blind Old Man,4,2,343952
Monos-con-fierro,2,1,258191
La Orden99,6,3,540254
OCTPOB BLACK,2,1,17886
S U N Z,4,2,306694
Ordo-Templi,2,1,31272
Midnight Sons Eternals,2,1,268919
Patacones con salsa,4,2,1482451
ENERGIA OC,6,3,1047878
BZL BRAZIL,4,2,179511
FUERZA FENIX,18,9,1609730
Zr0 Escape,10,5,805415
Kings of the camps,6,3,598955
Alkaragan,2,1,125319
I Call Out I,114,57,18739329
Las Frutitas,4,2,153489
No-Fucking-Mercy,6,3,365583
Asura Strike,4,2,161176
EscuadrondelaMuerte,2,1,201863
iTunes,2,1,85548
U N l T A S,6,3,601279
FarmingShop,2,1,182998
NaviGG Craft,2,1,222869
The Loli Men,4,2,173823
rift and voids,4,2,38658
tezk kyle kebera,2,1,922539
Aslet,20,10,1074476
Mystnigh,2,1,269987
ILUMIPAPUS,16,8,617693
Hold My ZTE,2,1,305934
Cathedral of Morgana,4,2,184354
Warriors of the AEsir,2,1,963405
The_Genei Ryodan,28,14,1005235
REPUBLIKS,4,2,395004
Aposentados e Oprimidos,2,1,37738
S A L V A T I O N,2,1,144122
LionGate,2,1,165217
kING IN THE MIST,2,1,25115
Boi Feliz,2,1,154685
H Y S T E R Y A,2,1,91211
MorrodoUrubu,4,2,572273
NASARIksz,2,1,60408
Radiantis,2,1,13292
Hit On Me,2,1,170962
OUKE,192,96,42488002
LordOfTheMysteries,2,1,39355
U N I O N S,2,1,481313
The Glory of valhalla,4,2,299545
LOSDIBUJITOS,4,2,185582
FACCION PAPITAS CRUGIENTES,2,1,196686
usBALALAIKA,4,2,420495
M I N D L E S S,2,1,187650
Velo Carmesi,2,1,21884
LA SECTE,4,2,166046
xThe Solo Guildx,2,1,81764
ROMANTIC,2,1,60150
ninjas_BR,2,1,37752
vnclandia,2,1,856787
C O N T A C T O,6,3,635319
WE COOKED,4,2,374280
Inimigos do CLT,6,3,120321
StratsCo,16,8,683664
High Down,2,1,277824
Sos Ouistiti,2,1,310737
Alined,2,1,211047
LoversSong,2,1,5715
A1ravens,2,1,41346
NUEVA SANGRE LATINA,2,1,239579
Liga Del Sur,2,1,190776
Noteam,2,1,170318
LOOKING FOR PROFIT,2,1,117044
I Seek And Destroy I,2,1,166128
AquiAcabou,2,1,177120
Oak and Thorns,4,2,375646
Los_Jinetes_del_Apocalipsis,2,1,57385
el abismo de helm,4,2,159701
Statik,2,1,231272
CLOSTER,2,1,75930
K1M0N0,2,1,601957
Complejo de Pocho,234,119,13996056
Evil Gatitos,338,172,138467494
I DEMACIA I,45,23,4934615
OBSERVA,41,21,10496461
Morwing,905,465,426711976
Honey Fingers,29,15,2085283
Faction Army,967,505,83042401
Hold My Pocket,1081,565,274287259
Gods Corp,19,10,3805979
Loyalty Matters,278,147,21284142
EL SOTANO DE JESS,17,9,2076512
Levanton,15,8,994006
Exiliado2 Del Valhalla,45,24,2303887
ArGentiNidad,26,14,2462184
I Diamond Dogs I,336,181,105121201
MOTORHOME,1660,896,694855116
1AZEROTH1,173,94,29166380
N O S F E R A T U S,11,6,169618
RedGlitchs,44,24,2592331
Luck Army,11,6,1355293
Maximum Effort,1104,603,107880931
Mighty Frogs,334,183,133899134
Your Iast Breath,257,141,28673278
The Lonely Men,1309,719,575960082
Hero To Zer0,20,11,3019896
HEILPVP,391,216,33195558
BlackSm0ke,1002,554,103429872
Lethal Warri0rs,733,407,129152967
HUNTER DOG BR,9,5,367456
C A L L E J E R O S,36,20,2494518
Seakalm,59,33,8660502
Breathin,25,14,2433903
S O C I O P A T A S,32,18,875394
Battle Rush,16,9,2458810
SOLO PLAYERS FACTORY,16,9,756925
The Corners,496,279,168640365
OS BUXA S,16,9,733645
ALLYPVP,37,21,2918448
les fr valoir,403,230,77198793
Rebocadores Automotivos,7,4,797708
MulitaSquad,7,4,598185
Mamasitas Club,14,8,7789006
FRANGOS INC,14,8,785597
Leckeres Essen,7,4,736186
R4GEOUT,7,4,370711
Albiolines Crew,7,4,618858
Freedom Flex,14,8,2080339
Eyes of the Darkness,49,28,5333962
Peacefulness,7,4,975350
GLADIADORES L,7,4,267875
THAUREM,14,8,596135
fundos monetarios,7,4,516570
Antartida,14,8,2629757
Sprint With Me,2026,1162,535625304
clan del viento,26,15,1965241
N0T HUMAN,827,480,282946150
IIFures,895,521,387706627
Brownies Catolicos,60,35,5929758
INDECOPI,252,147,34999586
LOS_Yakuzas,29,17,3764838
Keybump,2329,1369,960256186
M A S T E R P l E C E,17,10,4773880
Shadow 0f Avalon,34,20,2305522
The Dipers,22,13,1372436
TDA,730,432,206657324
Air Fryer,54,32,6226862
Brasil imperio,32,19,1240504
99F00D,1071,637,314011523
Grougaloragran,331,197,17636348
E M I N E N C E,196,117,23460526
Caminos De Arena,132,79,5527895
Salamangos,5,3,912628
AYAYA ARCHIVE,5,3,301546
shellWhale,10,6,3571006
DRAGONS BLOODS,5,3,413279
Sacerdotes del Kaos,5,3,131277
Cursed Abismo,5,3,163254
YUNc,5,3,756607
Guardianes De Nazarick,10,6,184533
XXX3XXX,5,3,176530
Reqquiescat In Pace,5,3,315610
VIOLENT SOULS,35,21,2235523
Decent Folk,5,3,236675
El poder en La Mano,5,3,170763
PR4GA,20,12,2042947
CARNARIUM,5,3,842767
Trisomia 21,5,3,347253
T e a m R o c k e t,10,6,785639
B A Z U C O,10,6,490481
R E Q U 1 E M,2087,1253,722693321
NOTLIKEUS,513,308,110687187
Llamitas Su Su sum,949,571,283194892
escuadron salchicha,91,55,9519362
Hisoka,66,40,4713180
A N T A R E S,390,237,44680994
Shall We,299,182,44156938
Hello Cotto,46,28,6828542
Mafia Rybna V2,67,41,1245827
