Player,Guild,Wins,Losses,Total,Winrate_%
Matt8680,Cheer,51,26,77,66.23
LHERABEI,GELO E TECO,51,29,80,63.75
Adeorud,Error 404 Not Found,51,32,83,61.45
LaMuditaVirgen,The Rugrats,51,34,85,60.0
llCocytusll,Evil Gatitos,51,34,85,60.0
Darkfire167,Error 404 Not Found,51,36,87,58.62
MaR1nzzz,Cheer,51,46,97,52.58
Burbujhina2,R E Q U 1 E M,51,55,106,48.11
ToTinho420,B U R N I N,51,59,110,46.36
GFDamian,Ministry Of Bandits,51,79,130,39.23
Dumirick,DARKM1GHT,50,17,67,74.63
XxHunterRoxX,PlVAS,50,17,67,74.63
Alukar16,Evil Gatitos,50,22,72,69.44
kurosasory23sv,Curriculum Vitae,50,25,75,66.67
xaunMind,Llamitas Su Su sum,50,34,84,59.52
Marileia,I M O R T A I S,50,36,86,58.14
supaspruf,Mythix,50,36,86,58.14
MataOsosHdp,Evil Gatitos,50,38,88,56.82
RagnaldoKun,I M O R T A I S,50,40,90,55.56
PARPAROZIANO,Mono Con Navaja,50,44,94,53.19
Valkiin,Slammed,50,47,97,51.55
Viohlet,R E Q U 1 E M,50,51,101,49.5
Breakk3r,Outlimits,50,55,105,47.62
LORDCDG,I M O R T A I S,50,55,105,47.62
NoslaTTVVs,Curriculum Vitae,50,56,106,47.17
CountryVibes,Keybump,50,58,108,46.3
LevelUnknown,Mythix,50,61,111,45.05
Redi123,R3conecting,50,74,124,40.32
illussionlli,BlackSm0ke,50,84,134,37.31
Fatinho,PlVAS,49,9,58,84.48
labolaizquierda,DARKM1GHT,49,9,58,84.48
MariaaJuana,DARKM1GHT,49,12,61,80.33
gmblau,PlVAS,49,12,61,80.33
lTiCo,PlVAS,49,13,62,79.03
Xihx,Cheer,49,23,72,68.06
qsart,PlVAS,49,23,72,68.06
AR1ELxxx,Error 404 Not Found,49,27,76,64.47
Bionicjv,lnsanos por PVE,49,30,79,62.03
ExxiiA,AO University,49,30,79,62.03
arien521,Rogue Natives,49,37,86,56.98
INV1CTVS,Ministry Of Bandits,49,38,87,56.32
RicoReal,Slammed,49,44,93,52.69
Almost4,Slammed,49,46,95,51.58
5wagger,WH4TS4PP,49,47,96,51.04
Jondzera,I M O R T A I S,49,47,96,51.04
IkBenBlack,R E Q U 1 E M,49,51,100,49.0
CaptainCharley,Rogue Natives,49,62,111,44.14
WindJackel,Contingent,49,68,117,41.88
MiniBlackfire,lBlack Handl,49,162,211,23.22
LetLastMemory,PlVAS,48,11,59,81.36
lasanhaman,PlVAS,48,14,62,77.42
Morganalys,PlVAS,48,16,64,75.0
PaulinP,GELO E TECO,48,19,67,71.64
Romulomn,PlVAS,48,21,69,69.57
MiidoriK,GELO E TECO,48,22,70,68.57
RenanDib,GELO E TECO,48,25,73,65.75
Znyski,The Rugrats,48,31,79,60.76
Sapolaperra,Who is Lobitos,48,33,81,59.26
WalkerJP,Error 404 Not Found,48,38,86,55.81
98BAGO99,Error 404 Not Found,48,39,87,55.17
PinguinoNoxiano,Who is Lobitos,48,39,87,55.17
ilinaidos,AO University,48,41,89,53.93
KasperCore,WH4TS4PP,48,65,113,42.48
PancadaSeca,I M O R T A I S,48,72,120,40.0
SpiritSomber,PlVAS,47,8,55,85.45
waveigl,PlVAS,47,12,59,79.66
BezPam9ti,Life is game,47,16,63,74.6
DeusGod,PlVAS,47,17,64,73.44
YAMETE00,Curriculum Vitae,47,21,68,69.12
PutaDeHielo,Llamitas Su Su sum,47,24,71,66.2
onver03,The Rugrats,47,25,72,65.28
FilipeMcGil,AO University,47,36,83,56.63
TeaSalt,Cheer,47,38,85,55.29
Gatovgin,B U R N I N,47,40,87,54.02
Miiiier,Cheer,47,41,88,53.41
Balione,Keybump,47,45,92,51.09
Fansi,TU MAMMA,47,56,103,45.63
