Guild,Kills,Deaths,Fame
Heralds of Valhalla,6,12,5924159
Heralds of Kebab,1,11,5582373
FBl,0,1,0
Imperio latino,2,6,288383
NO BB,10,12,2726044
Vongola-Family,10,7,1575691
NO BB,0,1,385663
Twinkling at dawn,0,2,14902
NO BB,2,13,852596
404 NotFound,0,7,57670
x GANK,1,0,11820
ELDERS,1,0,63475
EQMS,102,25,34049105
Pyramid Scheme,21,6,17203196
Vongola-Family,0,31,13694903
-,1,0,82357
-,0,1,7445
Palegrin,0,0,13203
-,0,5,99271
Stone Ocean,1,0,117231
Verity,2,2,33259
Palegrin,1,1,161802
Lootburg,0,2,24919
Papaoutai,5,22,18442627
S A N I T Y,4,6,1365752
-,0,1,0
Polska Gildia,70,32,11023371
Lumen,0,1,45193
Make Turks Great Again,0,1,64835
Chaos Terror,0,0,43124
-,0,1,1766
Skoggangr,92,27,14233849
Shattered Grace,4,1,578913
DeaI OR DIE,0,2,28024
Obsidians,0,4,78865
Faith And Steel,5,27,2277103
METAL PENIS,0,1,0
-,0,1,0
DRAHAT,0,1,0
yakoza,0,2,0
BeBeBus,0,3,43138
Top Squad,3,1,756370
Vongola-Family,0,2,138197
NO MONEY NO TALK,0,2,52552
No Sex With Ex,0,2,41116
GAGARAGOGO,3,1,30584
The Buisness,1,1,49815
S A Y G I,0,1,0
-,1,1,59005
A T L A N T I S,0,1,41674
Almas Agrias,0,1,184266
cocorrico,4,11,2290904
-,1,0,262692
-,0,0,5882
-,3,14,100805
Follow The Crown,0,2,2275
JustEat,0,0,33920
Dikiciler Tarikat,0,1,15153
triadashalav777,0,2,101566
LAST LEGI0N,0,0,10110
BACKSTAB CO,3,19,1875559
Heralds of Valhalla,67,16,8920935
Heralds of Kebab,102,19,15214720
Savants,1,1,3278
Y a g a,1,3,385139
-,0,2,0
GreatMing,0,2,101367
Sosuni,0,1,18198
Tai Chi_YUN GU,0,5,18450
IKUN,16,30,3522436
Palegrin,1,7,1882641
Top Squad,13,51,4449387
Myriath,0,1,49383
flas,1,1,143306
Golden Mist,0,0,106457
Spolecenstvo,0,1,0
FOREST NEST,0,0,42820
FutuRama,4,2,248052
Bandidos del lag,0,1,30395
Crit on My Face,1,1,135290
EQMS,43,18,11787809
Verity,0,7,619855
Purity,0,0,288305
Sons of Ultima,1,2,18928
-,0,0,1950
LaMeute,0,4,28889
-,0,1,0
-,2,6,278107
-,0,1,0
Micar,0,4,31139
only money,0,1,4009
League of Glory,1,3,15115
Frozen Bones,0,2,0
-,0,0,618
-,5,5,610421
Noxus,0,3,212161
ZTHorZ,0,0,11784
Bandits,1,0,7694
-,0,0,14985
Dragon King,16,18,1316512
-,0,7,48075
Squirtle Squad,35,24,13825405
UNH0LY,14,3,4243460
Mighty Goat,4,1,946392
Gay Mafia,0,1,0
equipment,2,5,48381
-,0,5,194056
Dodo King,0,1,0
Anima Bellum,35,12,3124541
Obsidians,3,10,522784
WHY NOT,23,26,3405246
Nebukadnezar,0,0,9486
Vongola-Family,15,13,4314209
NO BB,12,7,1386285
-,0,4,10199
THE ASTARTES,0,1,0
420enjoyer,0,0,39408
Penalti para el Real Madrid,0,1,21687
ANY FIGHT,2,1,247273
Critical,2,21,5134693
Rasmelcorp,0,1,0
EBENGRAD,1,9,438508
-,0,1,0
Vikings,0,11,838657
Master Of Soul,0,2,2492
NO BB,0,1,7426
giant panda,1,4,368287
-,0,2,0
Food OC,0,1,0
Rise Of Dahalo,0,3,26227
The Silver Cartel,0,1,14053
Raptors X,1,2,45149
-,6,3,466661
SHEMISTAN,4,3,144796
Arise of Turks,7,6,456637
Cursed Monsters,0,1,0
Bybonna9 4yma,1,0,68740
EU Federation,1,7,965640
-,1,34,397125
-,0,1,0
Gachi Gatherers,0,1,0
Velha Guarda,0,1,804898
-,0,4,20840
-,0,1,0
UZBEK PVE PVP,0,1,0
H3R3CTOS COM3BACK,2,0,78623
Silverwolf_Legion,1,5,38828
Frostborne,8,6,696920
Unbound,1,12,3253299
Vikings,24,17,3788636
Midnight Omen,0,7,11304
LiMing,8,12,1192091
Saggin,0,1,98417
Kzl Elma,0,9,90190
-,0,2,0
-,0,0,32725
M O O N,0,0,0
LES GOBRIATES,0,2,0
dragons guild,0,1,0
Purity,0,1,92145
MORIERIS,13,3,212253
-,0,1,0
Bandits,0,2,125733
War beavers,0,1,18792
Deathnote,0,1,0
-,1,5,89871
NoTag,0,4,85574
O N L I N E,0,2,12738
THE BEARS TAVERN,0,1,0
Y a g a,11,39,3705775
Pratele Hranateho Stolu,46,37,7315222
-,0,0,3976
Mata Gabachos,0,1,0
House Requiem,0,1,0
Palegrin,0,1,67206
-,0,1,9784
Gods of Death,1,0,142361
Blackorchid,0,2,120458
Sanctuary,71,42,12334449
-,7,3,410532
SO WHAT,0,2,0
GachiBang,0,0,112159
-,0,1,0
Pure Crimson,0,6,275837
Make Turks Great Again,1,0,117423
Vongola-Family,21,17,4694400
IKUN,1,36,3255740
iMoYu,3,7,269638
Vongola-Family,10,44,10570091
Noxus,2,10,2880061
HELL BRANCH TURKEY,9,19,133462
Wrong Ways,11,5,3205389
Moravian Eagles,0,5,115764
-,0,5,80841
Spider Legs,1,3,64727
The Woo,25,2,6151623
Pyramid Scheme,141,29,21672676
Carpet,0,0,14901
-,0,0,122408
Goodberry,1,2,239678
Heralds of Valhalla,8,10,6364145
Heralds of Kebab,5,5,1938394
-,0,1,0
Cyber Cats,14,5,2965314
Papaoutai,1,1,219914
rak,0,1,3872
HeadButt,2,15,6369115
SURRENDER,1,7,2676367
Y O I N K,0,1,0
Gaiety,0,2,0
LAZARET,0,6,76887
Sanctuary,1,0,70065
-,0,0,51474
S E N G O K U,15,1,262218
Gachi Gatherers,4,6,516976
B_E_A_R_S,0,1,0
El Tercer Sello,8,5,706318
A-T-L-A-S,0,3,643845
Black Sentinels,0,2,55878
Heralds of Kebab,5,6,9962924
Heralds of Valhalla,9,8,2435584
Mure,7,18,3961848
-,0,0,1343
-,13,9,973229
XFORCE,4,3,570832
DOPAMINE,0,0,12261
Ultramen bumi,4,0,201248
-,3,2,217331
Untouchable,0,3,0
Utopia,3,4,39639
-,0,1,0
CRISGUN,1,6,253437
-,0,1,0
Astra Ignis,0,1,0
EQMS,15,22,6130244
-,1,1,19576
Pure Crimson,2,4,635714
I_M_P_A_C_T,0,0,1440
League of Victory,2,1,10226
Lemon Girls,5,30,11037443
Newbee,0,3,68968
-,0,3,19774
Eternal Hunt,0,1,0
PORNO INDYCTRIA,0,5,30836
Blue Dragons,0,3,0
Anatolian Rebels,8,12,251952
-,0,3,2190
Doomsheep,0,1,0
-,0,1,0
Verity,0,1,456004
tahe shapoor,0,2,0
Gank Banks,2,0,32211
Mighty Goat,0,3,260841
Palegrin,0,4,75209
Alpagut TR,0,1,32292
Twinkling at dawn,0,1,117720
-,0,0,7938
BTBF,5,11,1072349
LES GOBRIATES,3,1,25145
NO BB,0,1,98617
GreatMing,9,4,268510
BeBeBus,0,2,33670
CO-CK RIDERS,0,2,0
