Guild,Kills,Deaths,Fame
Capibara,68,95,6858046
R E Ds,54,97,8880042
Sonnenfinsternis,53,134,8547879
Zero Resistance,136,85,9537067
one4all,59,86,31784575
Moonlight Maniacs,44,78,4131968
PEKA,83,119,9806050
Diablo Hellcats,90,116,7472242
Wrong Ways,107,71,41459506
RAT PACK,554,177,39507171
Fort Defenders,77,110,7548870
Mutiny,105,49,35102005
The Madman Brothers,92,83,6993193
UNLIMIT,71,58,30887788
Chaos Coalition,61,145,9128215
Shinigami Chop,82,90,10900421
SCREZHET METALLA,50,154,5438771
Dark Shadow,139,69,11502316
Delicious in Dungeon,47,53,8481500
BARBARLAR,172,69,16034702
Take Care,155,90,41407896
Eclipse Order,77,102,7760658
Bloodbound Order,90,104,12493553
Lumen,90,171,3477283
Komynalka,17,110,2118376
Just Run,135,67,7655531
Gachi Gatherers,30,152,3955400
1-st,81,91,7455654
Uziemienie,62,101,10872525
Sons Of Neptune,87,118,7187382
WaPota,80,118,11461879
Rise of Infinites,48,46,5829232
FBl,67,102,11531192
Sincerity,69,46,10028091
The Round Table Knights,52,84,3303453
uncrowned,50,62,13730795
CUM on Gankers Lips,94,48,6866524
Loyal Guards,130,86,7416671
Destroyers of Destiny,47,83,10943290
Phantom Palace,69,104,11756998
DELETED,1496,169,83580030
Skorpiony Zniszczenia,67,104,6434364
Vashta Nerada,21,118,2363030
Micar,27,160,2929459
WIPED,61,87,11695102
ThetfordMerchants,174,102,11223277
LHS_SAKSOS,43,82,4024737
pro noobs,68,72,5309282
T O Y,100,61,11378020
Throwing,27,119,11361493
Reunion Island 974,34,108,2841968
Crimson Serpent,136,110,11756255
Akari,21,116,1937086
Angles Mort,253,102,72376656
Lunar Wolf,30,127,5141590
The Black Hydra,27,107,4359193
BATUTIKI,83,81,21539591
Pandemonium,33,93,4116792
NEED MY JACKET,52,101,9133517
SIBERIA,31,123,4806084
St soprano,80,84,17507185
Gemu,70,79,5685336
SteelOrden,55,121,4722672
Ethereal,60,111,13380501
Wet Beavers,165,24,12859450
Ordin bleska,3,130,874672
TheHonoredOnes,11,104,1164142
Yamato Club,81,96,5136086
LastParty,57,76,7003193
FOR SOLO PLAYERS NO TAX,80,49,4921326
indrix,113,117,9419420
TitikKumpul,39,79,2616294
Rise Of Dahalo,39,69,9025327
UA _MOROK,86,47,9164694
Frogs From Thetford,40,54,5090199
A U R,123,111,21466271
C K A M,112,48,12649022
Small Gang Theory,50,78,5174040
ANATOLIAN WRATH,60,84,5695636
ANKLAW,75,31,14400961
Les impots,63,63,6859653
AzGuards,17,82,1567799
StormCloaks,45,88,6853625
R-I-P,110,68,15381063
Skan2017,58,79,5382478
Daisho Rojo,35,108,2211775
IIWANTEDII,121,52,11997591
H O R I Z O N,61,60,56552531
Conquista y Siesta,206,63,8410342
W I P E,116,81,28499938
UFORG,98,42,29525935
Legio Potens,79,138,7295734
hehehaha,151,49,16086654
FAME NERA,25,57,4286971
The Ganklist,138,52,21414755
L O A D I N G,30,92,3658303
LAST LEGI0N,55,81,4326213
I D I L L I Y A,41,68,8224889
Council,86,87,8462960
Shadow Garden Army,62,107,3369570
HEXTECH,79,57,14092472
LABUBU TIME,69,34,6252612
Gold Duchy,15,90,1456455
Carleon Blood Contract,141,75,6384710
ARCH0NS,164,57,44539880
Logout,260,65,9727134
Shattered Legion,23,58,2828730
Modest Circle,37,112,5008740
Le Bus Magique,38,73,6272447
VOID CHIEFS,48,58,7605755
Black Sheeps,33,86,3580222
AKM Almighty Killer Monster,11,116,1208294
Nebukadnezar,33,59,2735576
Desine et Morieris,55,56,12260632
Heretics,145,108,5862839
Carpet Ninjas,37,60,3687018
One Hell,24,95,3121442
Forajidos,38,94,2227114
TEMPLARIO 3,18,66,2578435
chujemujedzikieweze,48,49,4396421
Provincial,24,86,2491456
IKUN,22,70,1893385
