Player,Guild,Wins,Losses,Total,Winrate_%
FuzzyGucci,Skoggangr,52,29,81,64.2
KOTEL76582,Contingent,52,30,82,63.41
SpermoPijca,Skoggangr,52,30,82,63.41
Isselele,Y O I N K,52,31,83,62.65
TutankhamunEG,Y O I N K,52,31,83,62.65
Kastoriy,Heralds of Valhalla,52,32,84,61.9
PRIMZITO,Contingent,52,37,89,58.43
Falhaine,Critical,52,39,91,57.14
Derrick,Road to Exile,52,40,92,56.52
Leath,Contingent,52,40,92,56.52
Artvr,Unbound,52,45,97,53.61
Enterworld,Skoggangr,52,45,97,53.61
GodBjokes,Pipootam,52,52,104,50.0
Muptela,Skoggangr,52,52,104,50.0
Exalt,Squirtle Squad,52,60,112,46.43
Messo,ANY FIGHT,52,62,114,45.61
DetectivePavoh,Expedition 60,52,65,117,44.44
Josephineisback,Woof Woof,52,69,121,42.98
Groot,Contingent,52,91,143,36.36
SHAYANXDD,Woof Woof,52,97,149,34.9
Superman,Woof Woof,52,129,181,28.73
kjiryo,Contingent,51,21,72,70.83
Kaboom,Papaoutai,51,24,75,68.0
Gregaren,Contingent,51,25,76,67.11
NurgleEnjoyer,Y O I N K,51,25,76,67.11
RBL,S I X,51,29,80,63.75
4tai6,S I X,51,36,87,58.62
PetitNoir,Critical,51,36,87,58.62
AYJACK,Unbound,51,39,90,56.67
Bl00dFather,Right Side,51,47,98,52.04
Gazro,KillJoys,51,47,98,52.04
Kratodot,Ridniy Kray,51,47,98,52.04
IzanaGOD,KillJoys,51,49,100,51.0
Snak,S I X,51,49,100,51.0
Fazit,Ridniy Kray,51,50,101,50.5
Ghromm,ANY FIGHT,51,55,106,48.11
Stefictory,Simia,51,59,110,46.36
1bebelino,SHIV,51,69,120,42.5
Mesuni,Squirtle Squad,51,74,125,40.8
Zvzratv2,Saggin,51,94,145,35.17
KadetemTeraz,Contingent,50,23,73,68.49
StylePavyk,Papaoutai,50,24,74,67.57
Spheracul,DELETED,50,30,80,62.5
stonedsquirrel,Heralds of Valhalla,50,31,81,61.73
skzBOG,Y O I N K,50,34,84,59.52
Gumagumis,Road to Exile,50,38,88,56.82
derour,A K U M A,50,38,88,56.82
Metahondrij,0N A FAIM,50,43,93,53.76
KingDD,Skoggangr,50,44,94,53.19
X9Archie,Scourge of GOD,50,46,96,52.08
Alteris,Y O I N K,50,47,97,51.55
Zyabr,Savants,50,49,99,50.51
POLELTROLL,Simia,50,50,100,50.0
meduzonzi,Skoggangr,50,50,100,50.0
Razory,Contingent,50,55,105,47.62
Dacius,SHIV,50,58,108,46.3
Rysiek40cm,Polska Gildia,50,62,112,44.64
mikado38,Woof Woof,50,62,112,44.64
NRVI,Squirtle Squad,50,68,118,42.37
Dashrix,Lemon Girls,50,94,144,34.72
Batazgul,Y O I N K,49,22,71,69.01
5unShineX,Burzyny,49,25,74,66.22
Flit,Papaoutai,49,25,74,66.22
AboMwda,Heralds of Valhalla,49,27,76,64.47
lopa252,Critical,49,28,77,63.64
JenniferOfRivia,Cow field,49,30,79,62.03
NunarDedamitsa,Road to Exile,49,30,79,62.03
TheMavis1200,Cow field,49,30,79,62.03
Lastlight,Papaoutai,49,31,80,61.25
ProdigyESP,S I X,49,32,81,60.49
Sayary,Scourge of GOD,49,32,81,60.49
Majonez,Burzyny,49,33,82,59.76
HealingCurse,Cow field,49,36,85,57.65
Evesion,Contingent,49,37,86,56.98
Jarrhod,Critical,49,37,86,56.98
Minderico,Y O I N K,49,38,87,56.32
SFA19,A K U M A,49,38,87,56.32
Croatica,Y O I N K,49,40,89,55.06
pandaz17z,Y O I N K,49,42,91,53.85
AhmedGad,Skoggangr,49,43,92,53.26
shinigami696,Critical,49,43,92,53.26
Hooonig,KillJoys,49,45,94,52.13
cire,Skoggangr,49,46,95,51.58
elChacha,Papaoutai,49,46,95,51.58
OGDave,Skoggangr,49,51,100,49.0
FUCKBIDEN,Right Side,49,52,101,48.51
ExeN,Polska Gildia,49,63,112,43.75
Wiszi8,Contingent,49,94,143,34.27
1Bojji,Heralds of Valhalla,48,12,60,80.0
Grizzly455,Heralds of Valhalla,48,18,66,72.73
Baphomet666,Papaoutai,48,23,71,67.61
Fienhenal,Road to Exile,48,23,71,67.61
Mart,Y O I N K,48,23,71,67.61
reyvnx3,Y O I N K,48,28,76,63.16
9BlackClover9,Heralds of Valhalla,48,29,77,62.34
RadioGaGa,Contingent,48,29,77,62.34
Sharitsu,Contingent,48,29,77,62.34
ShoraRidesJugger,A K U M A,48,31,79,60.76
Teamterk,Saggin,48,37,85,56.47
Rts1,Y O I N K,48,39,87,55.17
Kuaxy,S I X,48,40,88,54.55
AirCatcher,Right Side,48,42,90,53.33
Cuban,A K U M A,48,42,90,53.33
LicenseIo3,Unbound,48,42,90,53.33
BOBO,Pipootam,48,43,91,52.75
peghy,Woof Woof,48,46,94,51.06
HURTLOKER,Skoggangr,48,49,97,49.48
Skyzxn,ANY FIGHT,48,55,103,46.6
AkaMiz,Polska Gildia,48,59,107,44.86
Yigitcim,s t e p b a c k,48,65,113,42.48
xAlee,Squirtle Squad,48,68,116,41.38
KuZa,Squirtle Squad,48,70,118,40.68
Mounirchar67,Woof Woof,48,72,120,40.0
CHAMPIONofHUMANS,Lemon Girls,48,87,135,35.56
3nvy,Lemon Girls,48,108,156,30.77
RuneDucccc,Heralds of Valhalla,47,12,59,79.66
LastDobro,Heralds of Valhalla,47,13,60,78.33
RuiOvO,Papaoutai,47,15,62,75.81
UniFoxyCorn,Heralds of Valhalla,47,16,63,74.6
Sunbeamm,Heralds of Valhalla,47,19,66,71.21
chuyunwandering,Heralds of Valhalla,47,20,67,70.15
PositiveMindset,Papaoutai,47,21,68,69.12
LiuShuUu,Heralds of Valhalla,47,26,73,64.38
Gaydaf,Papaoutai,47,27,74,63.51
HateAndLoveMe,Heralds of Valhalla,47,29,76,61.84
ChiaraOW,Contingent,47,31,78,60.26
twentu,Heralds of Valhalla,47,34,81,58.02
FLEXY4,Papaoutai,47,36,83,56.63
MrWeeeed,Contingent,47,37,84,55.95
BebratoR,Utopia,47,38,85,55.29
Urios,Unbound,47,38,85,55.29
SmokeCriminaI,Contingent,47,41,88,53.41
Ashelda,Unbound,47,42,89,52.81
Crehessia,Pipootam,47,45,92,51.09
4in4,Papaoutai,47,47,94,50.0
ORDUSPOR,Woof Woof,47,48,95,49.47
Lenuma,Squirtle Squad,47,51,98,47.96
PoleQq,Pyramid Scheme,47,53,100,47.0
Vestige,Squirtle Squad,47,53,100,47.0
Ihniht,Pyramid Scheme,47,56,103,45.63
cocks,Woof Woof,47,58,105,44.76
I0WA,Y O I N K,47,61,108,43.52
zashyma,Lemon Girls,47,90,137,34.31
festo,Burzyny,46,20,66,69.7
JustYann,Critical,46,25,71,64.79
sandi,Y O I N K,46,25,71,64.79
shahsawar,Contingent,46,28,74,62.16
DoIce,Utopia,46,30,76,60.53
TERMIT,Heralds of Valhalla,46,31,77,59.74
Kanzarr,Contingent,46,32,78,58.97
Ecchi,Syntax,46,36,82,56.1
SillyCar,Syntax,46,36,82,56.1
Saguntvm,Scourge of GOD,46,37,83,55.42
Maleficentx3,Syntax,46,38,84,54.76
OMAR789,Y O I N K,46,38,84,54.76
Toalikan,Contingent,46,39,85,54.12
Sarmas,Contingent,46,42,88,52.27
Kakaan,Skoggangr,46,43,89,51.69
King1slayer,Skoggangr,46,48,94,48.94
GooglyMoogly9560,Unbound,46,49,95,48.42
dontkillmeingame,Skoggangr,46,49,95,48.42
Hold,Pipootam,46,50,96,47.92
XxxxNINJAxxxX,Pipootam,46,51,97,47.42
bobel,Polska Gildia,46,56,102,45.1
OCHOBA,Polska Gildia,46,58,104,44.23
Arthexx,s t e p b a c k,46,59,105,43.81
Caalax,Panico,46,61,107,42.99
Athena99,Woof Woof,46,66,112,41.07
